,timestamp,steps,cycles,enabled,current_activity_type_intensity,stress_level_value,heart_rate,active_time,vigorous_activity_minutes,moderate_activity_minutes,distance,cycles_to_distance,event,activity_type,active_calories,cycles_to_calories,event_type,intensity,resting_metabolic_rate,duration_min
0,2023-04-07 23:00:00,,,1.0,8.0,,,,,,,1.6198,78.0,8.0,,0.0424,3.0,0.0,2009.0,
1,2023-04-07 23:01:00,,,,,23.0,,,,,,,,,,,,,,
2,2023-04-07 23:02:00,,,,,24.0,,,,,,,,,,,,,,
3,2023-04-07 23:03:00,,,,,30.0,,,,,,,,,,,,,,
4,2023-04-07 23:04:00,,,,104.0,24.0,,,,,,,,8.0,,,,3.0,,
5,2023-04-07 23:05:00,,,,8.0,29.0,,,,,,,,8.0,,,,0.0,,
6,2023-04-07 23:06:00,,,,,21.0,,,,,,,,,,,,,,
7,2023-04-07 23:07:00,,,,,25.0,,,,,,,54.0,,,,3.0,,,
8,2023-04-07 23:08:00,,,,,26.0,,,,,,,54.0,,,,3.0,,,
9,2023-04-07 23:09:00,,,,,50.0,,,,,,,,,,,,,,
10,2023-04-07 23:10:00,,,,,56.0,,,,,,,,,,,,,,
11,2023-04-07 23:11:00,,,,,65.0,,,,,,,,,,,,,,
12,2023-04-07 23:12:00,,,,,39.0,,,,,,,,,,,,,,
13,2023-04-07 23:13:00,,,,,26.0,,,,,,,,,,,,,,
14,2023-04-07 23:14:00,,,,,17.0,,,,,,,,,,,,,,
15,2023-04-07 23:15:00,,,,,13.0,,,,,,,54.0,,,,3.0,,,
16,2023-04-07 23:16:00,,,,,18.0,,,,,,,,,,,,,,
17,2023-04-07 23:17:00,,,,,24.0,,,,,,,54.0,,,,3.0,,,
18,2023-04-07 23:18:00,,,,,19.0,,,,,,,,,,,,,,
19,2023-04-07 23:19:00,,,,,20.0,,,,,,,54.0,,,,3.0,,,
20,2023-04-07 23:20:00,,,,,16.0,,,,,,,54.0,,,,3.0,,,
21,2023-04-07 23:21:00,,,,,19.0,,,,,,,54.0,,,,3.0,,,
22,2023-04-07 23:22:00,,,,,22.0,,,,,,,,,,,,,,
